School,Pts,Yds,TO
Georgia,10.2,268.5,1.4
Clemson,14.8,306.3,1.4
Texas A&M,15.9,328.6,1.3
Wisconsin,16.2,239.7,1.8
Cincinnati,16.9,318.4,2.4
Minnesota,17.3,279.0,1.2
Penn State,17.3,353.0,1.6
Michigan,17.4,330.4,1.1
Oklahoma State,18.1,297.9,1.4
Baylor,18.3,348.0,1.9
Louisiana,18.5,340.9,1.6
Boise State,19.0,365.6,1.9
Iowa,19.2,329.1,2.2
North Carolina State,19.7,331.7,1.3
Notre Dame,19.7,360.5,1.9
Air Force,19.8,296.0,1.2
San Diego State,19.8,324.4,1.6
Alabama,20.1,302.9,1.3
Houston,20.4,301.5,1.6
Fresno State,20.5,347.1,1.8
Iowa State,20.5,310.7,1.2
Arizona State,20.8,327.7,1.5
Kansas State,21.0,345.2,1.3
Liberty,21.5,320.8,0.8
Coastal Carolina,21.6,340.5,1.0
Kentucky,21.7,340.8,0.9
Auburn,21.8,374.9,0.9
Toledo,21.8,349.9,1.4
Illinois,21.9,366.6,1.4
Appalachian State,22.1,349.9,1.6
Boston College,22.2,343.9,1.4
Army,22.3,329.4,1.2
California,22.3,370.1,1.7
Purdue,22.4,368.1,1.3
Utah,22.6,343.4,1.1
Nebraska,22.7,366.5,1.1
Washington,22.7,337.0,1.3
Ohio State,22.8,374.0,1.5
Arkansas,22.9,367.7,1.3
Miami (OH),23.1,368.9,1.3
UAB,23.2,329.3,1.5
Pitt,23.6,353.0,1.6
Wyoming,23.7,372.0,1.1
Marshall,23.8,395.2,1.4
West Virginia,23.8,350.6,1.0
South Carolina,24.0,355.8,1.8
Washington State,24.2,378.6,2.2
Utah State,24.4,393.1,1.6
UCF,24.5,369.8,1.5
UTSA,24.6,373.4,1.9
Ole Miss,24.7,420.4,1.6
BYU,24.8,388.8,1.5
UTEP,25.2,349.4,1.1
Michigan State,25.3,441.9,1.5
Virginia Tech,25.3,393.7,1.1
Rutgers,25.6,398.1,1.2
Middle Tennessee State,25.7,374.5,2.4
Central Michigan,25.8,382.5,1.2
Florida Atlantic,25.8,409.3,1.6
Oklahoma,25.8,391.5,1.8
Oregon State,25.8,387.6,1.5
Mississippi State,25.9,345.2,1.2
Troy,26.1,337.5,2.0
East Carolina,26.3,394.9,1.8
Syracuse,26.3,332.2,0.6
South Alabama,26.4,355.8,2.1
Florida State,26.5,379.0,1.7
Nevada,26.5,410.0,2.0
San Jose State,26.5,371.3,1.0
LSU,26.6,379.3,0.9
Tulsa,26.6,370.2,1.4
Colorado,26.7,422.0,1.1
Florida,26.8,367.8,1.0
UCLA,26.8,388.2,1.6
Oregon,27.0,384.5,1.6
Georgia State,27.1,403.2,1.6
Louisville,27.3,403.7,1.2
North Texas,27.5,383.1,1.4
Old Dominion,27.8,385.1,1.2
Southern Mississippi,27.9,358.8,1.9
Western Michigan,28.2,331.9,1.0
Colorado State,28.3,377.9,1.2
Navy,28.3,349.2,1.2
Ball State,28.4,419.7,1.5
Miami (FL),28.4,389.6,0.9
New Mexico,28.4,363.8,1.2
SMU,28.4,418.8,1.3
Wake Forest,28.9,413.6,2.1
Northwestern,29.0,430.4,1.3
Tennessee,29.1,421.7,1.2
Memphis,29.3,419.8,1.3
Western Kentucky,29.4,437.0,2.2
Buffalo,29.9,417.4,1.0
Eastern Michigan,30.0,438.3,1.3
Texas Tech,30.2,404.8,1.2
Ohio,30.3,432.8,0.7
Bowling Green State,30.7,374.1,1.5
Maryland,30.7,404.5,0.8
Texas,31.1,426.4,1.1
Arizona,31.4,372.5,0.5
Georgia Southern,31.4,441.7,0.8
Hawaii,31.4,446.6,2.1
USC,31.8,410.1,1.6
Virginia,31.8,466.0,1.2
North Carolina,32.1,418.6,1.2
Stanford,32.4,453.2,0.8
UNLV,32.8,409.8,1.4
Texas State,33.0,433.3,1.0
Indiana,33.3,384.3,0.8
Georgia Tech,33.5,456.1,1.1
Louisiana-Monroe,33.5,453.2,1.4
Northern Illinois,33.7,452.4,0.8
Missouri,33.8,434.6,1.2
Charlotte,34.0,465.3,1.2
Louisiana Tech,34.0,434.6,1.8
Tulane,34.0,430.4,1.3
South Florida,34.7,472.3,1.4
TCU,34.9,462.0,1.2
Vanderbilt,35.8,457.9,1.3
Rice,36.2,436.9,1.6
Kent State,36.3,471.9,1.8
Temple,37.5,401.1,1.1
Connecticut,38.5,453.3,1.2
Arkansas State,38.6,506.0,1.4
Akron,39.5,469.0,0.9
Florida International,39.7,492.0,0.8
Duke,39.8,518.4,1.2
New Mexico State,40.4,487.1,1.7
Kansas,42.2,487.4,1.3
Massachusetts,43.1,486.6,0.9
