School,W,L
Wake Forest,11,3
Clemson,10,3
North Carolina State,9,3
Louisville,6,7
Florida State,5,7
Boston College,6,6
Syracuse,5,7
Pitt,11,3
Miami (FL),7,5
Virginia,6,6
Virginia Tech,6,7
North Carolina,6,7
Georgia Tech,3,9
Duke,3,9
Cincinnati,13,1
Houston,12,2
UCF,9,4
East Carolina,7,5
Tulsa,7,6
SMU,8,4
Memphis,6,6
Navy,4,8
Temple,3,9
South Florida,2,10
Tulane,2,10
Baylor,12,2
Oklahoma State,12,2
Oklahoma,11,2
Iowa State,7,6
Kansas State,8,5
West Virginia,6,7
Texas Tech,7,6
Texas,5,7
TCU,5,7
Kansas,2,10
Michigan,12,2
Ohio State,11,2
Michigan State,11,2
Penn State,7,6
Maryland,7,6
Rutgers,5,8
Indiana,2,10
Iowa,10,4
Minnesota,9,4
Purdue,9,4
Wisconsin,9,4
Illinois,5,7
Nebraska,3,9
Northwestern,3,9
Western Kentucky,9,5
Marshall,7,6
Old Dominion,6,7
Middle Tennessee State,7,6
Charlotte,5,7
Florida Atlantic,5,7
Florida International,1,11
UTSA,12,2
UAB,9,4
North Texas,6,7
UTEP,7,6
Rice,4,8
Louisiana Tech,3,9
Southern Mississippi,3,9
Notre Dame,11,2
New Mexico State,2,10
Liberty,8,5
Massachusetts,1,11
Connecticut,1,11
Army,9,4
BYU,10,3
Kent State,7,7
Miami (OH),7,6
Ohio,3,9
Bowling Green,4,8
Buffalo,4,8
Akron,2,10
Northern Illinois,9,5
Central Michigan,9,4
Toledo,7,6
Western Michigan,8,5
Eastern Michigan,7,6
Ball State,6,7
Utah State,11,3
Air Force,10,3
Boise State,7,5
Wyoming,7,6
Colorado State,3,9
New Mexico,3,9
San Diego State,12,2
Fresno State,10,3
Nevada,8,5
Hawaii,6,7
San Jose State,5,7
Nevada-Las Vegas,2,10
Oregon,10,4
Washington State,7,6
Oregon State,7,6
California,5,7
Washington,4,8
Stanford,3,9
Utah,10,4
UCLA,8,4
Arizona State,8,5
Colorado,4,8
USC,4,8
Arizona,1,11
Georgia,14,1
Kentucky,10,3
Tennessee,7,6
South Carolina,7,6
Missouri,6,7
Florida,6,7
Vanderbilt,2,10
Alabama,13,2
Ole Miss,10,3
Arkansas,9,4
Texas A&M,8,4
Mississippi State,7,6
Auburn,6,7
LSU,6,7
Appalachian State,10,4
Coastal Carolina,11,2
Georgia State,8,5
Troy,5,7
Georgia Southern,3,9
Louisiana,13,1
Texas State,4,8
South Alabama,5,7
Louisiana-Monroe,4,8
Arkansas State,2,10
